SnapshotDate,StockCode,OnHandQty,Warehouse,LastCountDate,WarehouseClean,IsNegativeStock,IsMissingQty
2010-12-01,84715,67.0,WH-London ,2010-11-27,WH-London,False,False
2010-12-01,21484,0.0,WH-North,2010-11-26,WH-North,False,False
2010-12-01,20966,114.0,WH-London ,2010-11-19,WH-London,False,False
2010-12-01,37444C,0.0,WH-London ,2010-11-22,WH-London,False,False
2010-12-01,84789,54.0,,2010-11-17,UNKNOWN,False,False
2010-12-01,22248,45.0,WH_London,2010-11-20,WH-London,False,False
2010-12-01,79163,46.0,WH-North,2010-11-22,WH-North,False,False
2010-12-01,47593B,76.0,WH-London ,2010-11-30,WH-London,False,False
2010-12-01,21368,28.0,WH-London ,2010-11-19,WH-London,False,False
2010-12-01,20771,37.0,Warehouse North,2010-11-24,WH-North,False,False
2010-12-01,23483,15.0,Main,2010-11-21,WH-London,False,False
2010-12-01,20731,83.0,WH-North,2010-11-19,WH-North,False,False
2010-12-01,90214N,57.0,Warehouse North,2010-12-01,WH-North,False,False
2010-12-01,22087,69.0,WH_London,2010-11-19,WH-London,False,False
2010-12-01,22575,74.0,Main,2010-11-18,WH-London,False,False
2010-12-01,23075,109.0,WH-London ,2010-11-29,WH-London,False,False
2010-12-01,81950B,104.0,WH-North,2010-11-22,WH-North,False,False
2010-12-01,22960,,WH_London,2010-11-18,WH-London,False,True
2010-12-01,47590B,54.0,WH-London ,2010-11-30,WH-London,False,False
2010-12-01,22210,34.0,WH-London,2010-11-23,WH-London,False,False
2010-12-01,22415,72.0,Warehouse North,2010-11-29,WH-North,False,False
2010-12-01,84849B,71.0,Warehouse North,2010-11-17,WH-North,False,False
2010-12-01,15044B,28.0,WH-London ,2010-11-25,WH-London,False,False
2010-12-01,22156,71.0,Warehouse North,2010-11-24,WH-North,False,False
2010-12-01,85107,80.0,WH_London,,WH-London,False,False
2010-12-01,79160,16.0,WH-London,,WH-London,False,False
2010-12-01,21377,55.0,WH-London,2010-11-30,WH-London,False,False
2010-12-01,90026D,48.0,Warehouse North,2010-11-29,WH-North,False,False
2010-12-01,22098,49.0,WH-North,2010-11-19,WH-North,False,False
